sample_,var_,count,varcode,varname
18,531,57.0,Oleae,Oleaceae
18,567,76.0,Pin,Pinus
18,572,24.0,Pst,Pistacia
18,576,10.0,Pla,Plantago
18,657,20.0,Que.i-T,Quercus ilex-type
18,659,18.0,Que.r-T,Quercus robur-type
18,662,14.0,Ranae,Ranunculaceae
18,694,3.0,Rum,Rumex
18,793,2.0,Spa-T,Sparganium-type
18,854,3.0,Umb,Umbelliferae
18,1400,1.0,Mon.s,Monolete spore(s)
19,32,10.0,Aln,Alnus
19,66,25.0,Art,Artemisia
19,95,8.0,Bet,Betula
19,185,56.0,Cheae,Chenopodiaceae
19,201,1.0,Cm.Sf.A,Compositae subf. Asteroideae
19,217,14.0,Cor,Corylus
19,233,4.0,Cypae,Cyperaceae
19,272,1.0,Eph,Ephedra
19,282,4.0,Eriae,Ericaceae
19,304,1.0,Fag,Fagus
19,349,14.0,Graae,Gramineae
19,394,3.0,Jun,Juniperus
19,531,75.0,Oleae,Oleaceae
19,567,79.0,Pin,Pinus
19,572,4.0,Pst,Pistacia
19,576,13.0,Pla,Plantago
19,657,57.0,Que.i-T,Quercus ilex-type
19,659,57.0,Que.r-T,Quercus robur-type
19,694,3.0,Rum,Rumex
19,793,1.0,Spa-T,Sparganium-type
19,853,2.0,Ulm,Ulmus
19,854,1.0,Umb,Umbelliferae
19,1400,1.0,Mon.s,Monolete spore(s)
19,2610,1.0,PseudoS,Pseudoschizaea
20,32,2.0,Aln,Alnus
20,66,7.0,Art,Artemisia
20,95,3.0,Bet,Betula
20,185,25.0,Cheae,Chenopodiaceae
20,201,2.0,Cm.Sf.A,Compositae subf. Asteroideae
20,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
20,217,10.0,Cor,Corylus
20,233,3.0,Cypae,Cyperaceae
20,272,3.0,Eph,Ephedra
20,282,2.0,Eriae,Ericaceae
20,304,3.0,Fag,Fagus
20,349,9.0,Graae,Gramineae
20,394,2.0,Jun,Juniperus
20,531,47.0,Oleae,Oleaceae
20,567,136.0,Pin,Pinus
20,572,6.0,Pst,Pistacia
20,576,22.0,Pla,Plantago
20,657,25.0,Que.i-T,Quercus ilex-type
20,659,11.0,Que.r-T,Quercus robur-type
20,662,2.0,Ranae,Ranunculaceae
20,694,1.0,Rum,Rumex
20,793,1.0,Spa-T,Sparganium-type
20,854,2.0,Umb,Umbelliferae
21,32,6.0,Aln,Alnus
21,66,16.0,Art,Artemisia
21,95,6.0,Bet,Betula
21,119,1.0,Bux,Buxus
21,185,90.0,Cheae,Chenopodiaceae
21,196,3.0,Ciu,Cistus
21,201,3.0,Cm.Sf.A,Compositae subf. Asteroideae
21,203,1.0,Cm.Sf.C,Compositae subf. Cichorioideae
21,217,10.0,Cor,Corylus
21,233,8.0,Cypae,Cyperaceae
21,272,2.0,Eph,Ephedra
21,282,11.0,Eriae,Ericaceae
21,304,8.0,Fag,Fagus
21,349,36.0,Graae,Gramineae
21,394,2.0,Jun,Juniperus
21,415,1.0,Lig,Ligustrum
21,531,89.0,Oleae,Oleaceae
21,567,172.0,Pin,Pinus
21,572,3.0,Pst,Pistacia
21,576,33.0,Pla,Plantago
21,657,65.0,Que.i-T,Quercus ilex-type
21,659,93.0,Que.r-T,Quercus robur-type
21,694,1.0,Rum,Rumex
21,854,4.0,Umb,Umbelliferae
21,1396,1.0,Trl.s,Trilete spore(s)
21,2610,8.0,PseudoS,Pseudoschizaea
22,32,4.0,Aln,Alnus
22,66,13.0,Art,Artemisia
22,185,65.0,Cheae,Chenopodiaceae
22,196,1.0,Ciu,Cistus
22,201,4.0,Cm.Sf.A,Compositae subf. Asteroideae
