sample_,var_,count,varcode,varname
19,572,5.0,Pst,Pistacia
19,576,27.0,Pla,Plantago
19,657,17.0,Que.i-T,Quercus ilex-type
19,807,1.0,Tam,Tamarix
19,816,2.0,Tha,Thalictrum
19,854,8.0,Umb,Umbelliferae
19,1396,8.0,Trl.s,Trilete spore(s)
19,1400,4.0,Mon.s,Monolete spore(s)
19,2610,18.0,PseudoS,Pseudoschizaea
20,66,141.0,Art,Artemisia
20,165,2.0,Crl-T,Cerealia-type
20,185,191.0,Cheae,Chenopodiaceae
20,201,9.0,Cm.Sf.A,Compositae subf. Asteroideae
20,203,374.0,Cm.Sf.C,Compositae subf. Cichorioideae
20,233,1.0,Cypae,Cyperaceae
20,272,8.0,Eph,Ephedra
20,349,22.0,Graae,Gramineae
20,355,10.0,Hel,Helianthemum
20,401,1.0,Lab,Labiatae
20,411,5.0,Leg,Leguminosae
20,530,5.0,Ole,Olea
20,562,3.0,Phi,Phillyrea
20,567,12.0,Pin,Pinus
20,572,3.0,Pst,Pistacia
20,576,12.0,Pla,Plantago
20,657,10.0,Que.i-T,Quercus ilex-type
20,659,1.0,Que.r-T,Quercus robur-type
20,816,9.0,Tha,Thalictrum
20,854,14.0,Umb,Umbelliferae
20,1396,2.0,Trl.s,Trilete spore(s)
20,2610,1.0,PseudoS,Pseudoschizaea
21,66,912.0,Art,Artemisia
21,185,292.0,Cheae,Chenopodiaceae
21,201,15.0,Cm.Sf.A,Compositae subf. Asteroideae
21,203,576.0,Cm.Sf.C,Compositae subf. Cichorioideae
21,233,1.0,Cypae,Cyperaceae
21,272,25.0,Eph,Ephedra
21,349,12.0,Graae,Gramineae
21,355,6.0,Hel,Helianthemum
21,411,5.0,Leg,Leguminosae
21,530,1.0,Ole,Olea
21,562,2.0,Phi,Phillyrea
21,567,58.0,Pin,Pinus
21,572,5.0,Pst,Pistacia
21,576,44.0,Pla,Plantago
21,657,6.0,Que.i-T,Quercus ilex-type
21,816,2.0,Tha,Thalictrum
21,853,1.0,Ulm,Ulmus
21,854,1.0,Umb,Umbelliferae
21,897,1.0,Vts,Vitis
21,1141,7.0,Monocoty,Monocotyledones
21,1396,1.0,Trl.s,Trilete spore(s)
21,1400,2.0,Mon.s,Monolete spore(s)
21,1452,1.0,Cor.f,Coriaria myrtifolia
21,2610,8.0,PseudoS,Pseudoschizaea
22,32,1.0,Aln,Alnus
22,66,156.0,Art,Artemisia
22,185,1668.0,Cheae,Chenopodiaceae
22,201,45.0,Cm.Sf.A,Compositae subf. Asteroideae
22,203,46.0,Cm.Sf.C,Compositae subf. Cichorioideae
22,233,7.0,Cypae,Cyperaceae
22,272,29.0,Eph,Ephedra
22,282,1.0,Eriae,Ericaceae
22,349,3.0,Graae,Gramineae
22,355,11.0,Hel,Helianthemum
22,530,7.0,Ole,Olea
22,567,36.0,Pin,Pinus
22,572,8.0,Pst,Pistacia
22,576,35.0,Pla,Plantago
22,657,23.0,Que.i-T,Quercus ilex-type
22,687,1.0,Rosae,Rosaceae
22,816,1.0,Tha,Thalictrum
22,854,5.0,Umb,Umbelliferae
22,897,3.0,Vts,Vitis
22,1141,2.0,Monocoty,Monocotyledones
22,1396,5.0,Trl.s,Trilete spore(s)
22,1400,4.0,Mon.s,Monolete spore(s)
22,2610,6.0,PseudoS,Pseudoschizaea
23,66,166.0,Art,Artemisia
23,165,1.0,Crl-T,Cerealia-type
23,185,201.0,Cheae,Chenopodiaceae
23,196,3.0,Ciu,Cistus
23,201,13.0,Cm.Sf.A,Compositae subf. Asteroideae
23,203,37.0,Cm.Sf.C,Compositae subf. Cichorioideae
23,272,14.0,Eph,Ephedra
23,282,4.0,Eriae,Ericaceae
23,298,1.0,Eup,Euphorbia
23,349,9.0,Graae,Gramineae
23,355,13.0,Hel,Helianthemum
23,411,3.0,Leg,Leguminosae
23,530,14.0,Ole,Olea
23,562,2.0,Phi,Phillyrea
23,567,9.0,Pin,Pinus
23,572,1.0,Pst,Pistacia
23,576,5.0,Pla,Plantago
23,604,1.0,Pol,Polygonum
23,657,23.0,Que.i-T,Quercus ilex-type
23,687,2.0,Rosae,Rosaceae
23,853,1.0,Ulm,Ulmus
23,854,19.0,Umb,Umbelliferae
23,897,1.0,Vts,Vitis
23,1396,3.0,Trl.s,Trilete spore(s)
23,2610,6.0,PseudoS,Pseudoschizaea
24,66,226.0,Art,Artemisia
24,185,310.0,Cheae,Chenopodiaceae
24,196,1.0,Ciu,Cistus
24,201,10.0,Cm.Sf.A,Compositae subf. Asteroideae
24,203,4.0,Cm.Sf.C,Compositae subf. Cichorioideae
24,272,2.0,Eph,Ephedra
24,282,19.0,Eriae,Ericaceae
24,349,4.0,Graae,Gramineae
24,355,1.0,Hel,Helianthemum
24,401,1.0,Lab,Labiatae
24,411,1.0,Leg,Leguminosae
24,530,8.0,Ole,Olea
24,562,6.0,Phi,Phillyrea
24,567,8.0,Pin,Pinus
24,576,12.0,Pla,Plantago
24,657,16.0,Que.i-T,Quercus ilex-type
24,659,1.0,Que.r-T,Quercus robur-type
24,816,1.0,Tha,Thalictrum
24,854,1.0,Umb,Umbelliferae
24,1396,1.0,Trl.s,Trilete spore(s)
24,2139,1.0,Zygcae,Zygnemataceae
25,66,185.0,Art,Artemisia
25,185,445.0,Cheae,Chenopodiaceae
25,201,18.0,Cm.Sf.A,Compositae subf. Asteroideae
25,203,8.0,Cm.Sf.C,Compositae subf. Cichorioideae
25,282,3.0,Eriae,Ericaceae
25,349,5.0,Graae,Gramineae
25,355,1.0,Hel,Helianthemum
25,411,1.0,Leg,Leguminosae
25,461,1.0,Lyt,Lythrum
25,503,1.0,Myo,Myriophyllum
25,530,2.0,Ole,Olea
25,562,4.0,Phi,Phillyrea
25,567,2.0,Pin,Pinus
25,576,2.0,Pla,Plantago
25,657,7.0,Que.i-T,Quercus ilex-type
25,854,1.0,Umb,Umbelliferae
25,861,1.0,Urt,Urtica
25,1396,1.0,Trl.s,Trilete spore(s)
25,1400,2.0,Mon.s,Monolete spore(s)
25,1546,1.0,Thm,Thymelaea
25,2139,12.0,Zygcae,Zygnemataceae
25,2610,1.0,PseudoS,Pseudoschizaea
25,2761,1.0,Cps,Chamaerops
26,66,220.0,Art,Artemisia
26,185,154.0,Cheae,Chenopodiaceae
26,201,4.0,Cm.Sf.A,Compositae subf. Asteroideae
26,203,5.0,Cm.Sf.C,Compositae subf. Cichorioideae
26,272,2.0,Eph,Ephedra
26,282,2.0,Eriae,Ericaceae
26,349,2.0,Graae,Gramineae
26,355,2.0,Hel,Helianthemum
26,401,4.0,Lab,Labiatae
26,411,2.0,Leg,Leguminosae
26,503,1.0,Myo,Myriophyllum
26,530,3.0,Ole,Olea
26,562,2.0,Phi,Phillyrea
26,567,5.0,Pin,Pinus
26,576,8.0,Pla,Plantago
26,657,3.0,Que.i-T,Quercus ilex-type
26,854,1.0,Umb,Umbelliferae
26,2139,1.0,Zygcae,Zygnemataceae
27,66,390.0,Art,Artemisia
27,185,66.0,Cheae,Chenopodiaceae
27,201,8.0,Cm.Sf.A,Compositae subf. Asteroideae
27,203,19.0,Cm.Sf.C,Compositae subf. Cichorioideae
27,272,2.0,Eph,Ephedra
27,282,1.0,Eriae,Ericaceae
27,349,1.0,Graae,Gramineae
27,355,2.0,Hel,Helianthemum
27,401,2.0,Lab,Labiatae
27,411,4.0,Leg,Leguminosae
27,530,4.0,Ole,Olea
27,562,2.0,Phi,Phillyrea
27,567,3.0,Pin,Pinus
27,576,6.0,Pla,Plantago
27,657,5.0,Que.i-T,Quercus ilex-type
27,854,6.0,Umb,Umbelliferae
27,1546,1.0,Thm,Thymelaea
27,2610,3.0,PseudoS,Pseudoschizaea
28,66,217.0,Art,Artemisia
28,136,1.0,Car,Carpinus
28,185,37.0,Cheae,Chenopodiaceae
28,196,4.0,Ciu,Cistus
28,201,16.0,Cm.Sf.A,Compositae subf. Asteroideae
28,203,3.0,Cm.Sf.C,Compositae subf. Cichorioideae
28,272,7.0,Eph,Ephedra
28,282,1.0,Eriae,Ericaceae
28,355,4.0,Hel,Helianthemum
28,411,1.0,Leg,Leguminosae
28,567,5.0,Pin,Pinus
28,576,3.0,Pla,Plantago
28,604,1.0,Pol,Polygonum
28,657,28.0,Que.i-T,Quercus ilex-type
28,793,1.0,Spa-T,Sparganium-type
28,848,1.0,Typ.l-T,Typha latifolia-type
28,854,20.0,Umb,Umbelliferae
28,897,1.0,Vts,Vitis
