sample_,var_,count,varcode,varname
8,4275,2.0,T496,Type 496
8,4366,44.0,Que.py-T,Quercus pyrenaica-type
9,32,33.0,Aln,Alnus
9,95,150.0,Bet,Betula
9,124,14.0,Cal.v,Calluna vulgaris
9,233,31.0,Cypae,Cyperaceae
9,349,65.0,Graae,Gramineae
9,352,6.0,Hed,Hedera
9,945,10.0,Lyc,Lycopodium
9,958,19.0,Ppd.v-T,Polypodium vulgare-type
9,961,1.0,Ptd.a,Pteridium aquilinum
9,989,1.0,Til.s,Tilletia sphagni
9,1100,1.0,Lilae.ud,Liliaceae undiff.
9,1337,3.0,Pis.p,Pinus pinaster
9,1338,2.0,Pin.s-T,Pinus sylvestris-type
9,1810,1.0,Asp.a-T,Asphodelus albus-type
9,3028,80.0,Eri-T,Erica-type
9,3043,13.0,Crl,Cerealia
9,3462,1.0,T114,Type 114
9,4267,2.0,T115,Type 115
9,4271,1.0,T225,Type 225
9,4274,3.0,Spi.cf.s,Spirogyra cf. scrobiculata
9,4366,165.0,Que.py-T,Quercus pyrenaica-type
10,32,75.0,Aln,Alnus
10,95,175.0,Bet,Betula
10,124,5.0,Cal.v,Calluna vulgaris
10,233,26.0,Cypae,Cyperaceae
10,349,57.0,Graae,Gramineae
10,352,3.0,Hed,Hedera
10,863,1.0,Urt.d-T,Urtica dioica-type
10,945,22.0,Lyc,Lycopodium
10,958,10.0,Ppd.v-T,Polypodium vulgare-type
10,1338,1.0,Pin.s-T,Pinus sylvestris-type
10,3028,24.0,Eri-T,Erica-type
10,3043,5.0,Crl,Cerealia
10,3313,1.0,Asp.t,Asplenium trichomanes
10,4274,4.0,Spi.cf.s,Spirogyra cf. scrobiculata
10,4366,238.0,Que.py-T,Quercus pyrenaica-type
11,32,86.0,Aln,Alnus
11,95,157.0,Bet,Betula
11,124,8.0,Cal.v,Calluna vulgaris
11,233,16.0,Cypae,Cyperaceae
11,349,25.0,Graae,Gramineae
11,352,2.0,Hed,Hedera
11,945,9.0,Lyc,Lycopodium
11,953,6.0,Osm.r,Osmunda regalis
11,958,13.0,Ppd.v-T,Polypodium vulgare-type
11,961,29.0,Ptd.a,Pteridium aquilinum
11,989,2.0,Til.s,Tilletia sphagni
11,2303,3.0,But,Butomus
11,3028,24.0,Eri-T,Erica-type
11,3043,8.0,Crl,Cerealia
11,3301,2.0,Pse.c,Pseudoschizaea circula
11,3911,21.0,Flc.m.ud,Filicales monoletes undiff.
11,4274,10.0,Spi.cf.s,Spirogyra cf. scrobiculata
11,4366,200.0,Que.py-T,Quercus pyrenaica-type
12,32,69.0,Aln,Alnus
12,95,85.0,Bet,Betula
12,124,8.0,Cal.v,Calluna vulgaris
12,233,26.0,Cypae,Cyperaceae
12,349,131.0,Graae,Gramineae
12,352,2.0,Hed,Hedera
12,854,2.0,Umb,Umbelliferae
12,945,23.0,Lyc,Lycopodium
12,953,11.0,Osm.r,Osmunda regalis
12,958,2.0,Ppd.v-T,Polypodium vulgare-type
12,961,3.0,Ptd.a,Pteridium aquilinum
